movement_id,employee_id,movement_date,movement_type,old_department,new_department,old_sub_department,new_sub_department,old_job_level,new_job_level,old_manager_id,new_manager_id,old_location,new_location,country,business_unit,segment
MOV00000162,316,2018-09-15,Promotion,Store Operations,Store Operations,Security,Security,IC3,IC4,467,467,STORE-BR-037,STORE-BR-037,BR,Retail,retail_ops
MOV00000163,212,2018-09-15,Promotion,Visual Merchandising,Visual Merchandising,Merchandising,Merchandising,M4,M5,309,62,STORE-BR-001,STORE-BR-001,BR,Retail,retail_ops
MOV00000164,614,2018-09-15,Promotion,Regional Operations,Regional Operations,Region Southeast,Region Southeast,IC2,IC3,448,406,STORE-BR-011,STORE-BR-011,BR,Retail,retail_ops
MOV00000165,452,2018-09-15,Promotion,Planning,Planning,Supply Planning,Supply Planning,IC1,IC2,355,672,DC-AR-001,DC-AR-001,AR,Supply Chain,supply
MOV00000166,482,2018-09-15,Promotion,Product,Product,Product Ops,Product Ops,IC5,M2,310,687,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000167,522,2018-09-15,Promotion,Engineering,Engineering,Platform,Platform,IC2,IC3,283,210,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000168,8,2018-09-15,Promotion,Digital Marketing,Digital Marketing,SEO,SEO,M2,M3,121,833,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000169,210,2018-09-15,Promotion,Engineering,Engineering,Platform,Platform,IC4,M2,416,8,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000170,516,2018-09-15,Promotion,Data,Data,Analytics Engineering,Analytics Engineering,IC3,IC4,618,750,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000171,308,2018-09-15,Promotion,Legal,Legal,Corporate Legal,Corporate Legal,IC3,IC4,406,748,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000172,73,2018-09-15,Promotion,Risk,Risk,Fraud,Fraud,IC2,IC3,261,261,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000173,547,2018-09-15,Promotion,Strategy,Strategy,PMO,PMO,IC1,IC2,494,725,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000174,171,2018-09-15,Promotion,Customer Service,Customer Service,Chat,Chat,IC4,M2,194,673,SITE-BR-002,SITE-BR-002,BR,Customer,customer
MOV00000175,521,2018-09-15,Promotion,Customer Service,Customer Service,Contact Center,Contact Center,IC1,IC2,461,243,SITE-BR-002,SITE-BR-002,BR,Customer,customer
MOV00000176,116,2018-09-15,Transfer,Product,Customer Service,Product Management,Escalations,IC2,IC2,404,243,HQ-BR-001,SITE-BR-003,BR,Customer,customer
MOV00000177,623,2018-09-15,Transfer,Logistics,Visual Merchandising,Reverse Logistics,Merchandising,IC4,IC4,303,868,DC-BR-003,STORE-BR-028,BR,Retail,retail_ops
MOV00000178,82,2018-09-15,Lateral Move,Procurement,Data & Analytics,Indirect Procurement,Data Governance,IC4,IC4,187,92,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000179,468,2018-09-15,Lateral Move,Store Operations,Planning,Stockroom,Demand Planning,IC1,IC1,77,843,STORE-BR-017,DC-BR-005,BR,Supply Chain,supply
MOV00000180,101,2018-10-15,Transfer,Customer Operations,Regional Operations,Order Support,Region Southeast,IC1,IC1,288,395,SITE-BR-002,STORE-BR-029,BR,Retail,retail_ops
MOV00000181,532,2018-10-15,Transfer,Visual Merchandising,Data,Merchandising,Data Engineering,IC1,IC1,436,740,STORE-BR-044,HQ-BR-001,BR,Digital,digital
MOV00000182,612,2018-10-15,Transfer,Planning,Marketing,Demand Planning,Content,M2,M2,10,14,DC-BR-003,HQ-BR-001,BR,Corporate,corporate
MOV00000183,659,2018-10-15,Lateral Move,Marketing,Customer Experience,Performance,Voice of Customer,IC2,IC2,636,433,HQ-BR-001,SITE-BR-001,BR,Customer,customer
MOV00000184,776,2018-10-15,Lateral Move,Sales,Regional Operations,Key Accounts,Region South,IC1,IC1,128,466,STORE-BR-044,STORE-BR-031,BR,Retail,retail_ops
MOV00000185,861,2018-10-15,Lateral Move,Strategy,Store Operations,M&A,Security,M1,M1,539,503,HQ-BR-001,STORE-BR-004,BR,Retail,retail_ops
MOV00000186,8,2018-11-15,Transfer,Digital Marketing,Procurement,SEO,Contracts,M3,M3,833,692,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000187,582,2018-11-15,Transfer,Sales,Customer Experience,Floor Sales,CX Design,IC1,IC1,26,620,STORE-BR-010,SITE-BR-003,BR,Customer,customer
MOV00000188,905,2018-11-15,Transfer,Store Operations,Logistics,Store Management,Last Mile,M1,M1,503,303,STORE-BR-030,DC-BR-006,BR,Supply Chain,supply
MOV00000189,802,2018-11-15,Lateral Move,Product,Planning,Product Management,Supply Planning,IC3,IC3,404,45,HQ-BR-001,DC-BR-004,BR,Supply Chain,supply
MOV00000190,126,2018-12-15,Transfer,Logistics,Visual Merchandising,Last Mile,Store Design,IC1,IC1,568,270,DC-BR-001,STORE-BR-019,BR,Retail,retail_ops
MOV00000191,516,2018-12-15,Transfer,Data,Customer Experience,Analytics Engineering,Voice of Customer,IC4,IC4,750,552,HQ-BR-001,SITE-BR-002,BR,Customer,customer
MOV00000192,690,2018-12-15,Transfer,Sales,Logistics,Floor Sales,Reverse Logistics,IC2,IC2,162,837,STORE-BR-020,DC-BR-003,BR,Supply Chain,supply
MOV00000193,212,2018-12-15,Lateral Move,Visual Merchandising,Strategy,Merchandising,M&A,M5,M5,62,62,STORE-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000194,303,2018-12-15,Lateral Move,Logistics,Sales,Reverse Logistics,Key Accounts,M2,M2,10,121,DC-BR-004,STORE-BR-029,BR,Retail,retail_ops
MOV00000195,776,2018-12-15,Lateral Move,Regional Operations,Data & Analytics,Region South,Business Intelligence,IC1,IC1,466,557,STORE-BR-031,HQ-BR-001,BR,Corporate,corporate
MOV00000196,786,2019-01-15,Transfer,Procurement,Sales,Sourcing,Floor Sales,IC2,IC2,551,630,DC-BR-006,STORE-BR-042,BR,Retail,retail_ops
MOV00000197,818,2019-01-15,Transfer,Data & Analytics,Regional Operations,Business Intelligence,Region South,IC1,IC1,735,466,HQ-BR-001,STORE-BR-027,BR,Retail,retail_ops
MOV00000198,866,2019-01-15,Lateral Move,Customer Experience,Store Operations,CX Design,Store Management,IC2,IC2,674,375,SITE-AR-001,STORE-AR-003,AR,Retail,retail_ops
MOV00000199,776,2019-02-15,Transfer,Data & Analytics,Visual Merchandising,Business Intelligence,Store Design,IC1,IC1,557,583,HQ-BR-001,STORE-BR-043,BR,Retail,retail_ops
MOV00000200,942,2019-02-15,Transfer,Visual Merchandising,Engineering,Merchandising,Mobile,IC2,IC2,901,522,STORE-BR-030,HQ-BR-001,BR,Digital,digital
MOV00000201,966,2019-02-15,Transfer,Risk,Logistics,Fraud,Reverse Logistics,IC4,IC4,261,874,HQ-BR-001,DC-BR-001,BR,Supply Chain,supply
MOV00000202,703,2019-02-15,Lateral Move,Sales,Store Operations,Key Accounts,Security,IC1,IC1,690,852,STORE-BR-037,STORE-BR-014,BR,Retail,retail_ops
MOV00000203,833,2019-02-15,Lateral Move,Data & Analytics,Planning,Business Intelligence,Demand Planning,M4,M4,792,212,HQ-BR-001,DC-BR-004,BR,Supply Chain,supply
MOV00000204,614,2019-03-15,Promotion,Regional Operations,Regional Operations,Region Southeast,Region Southeast,IC3,IC4,406,34,STORE-BR-011,STORE-BR-011,BR,Retail,retail_ops
MOV00000205,571,2019-03-15,Promotion,Sales,Sales,Key Accounts,Key Accounts,IC1,IC2,139,630,STORE-BR-007,STORE-BR-007,BR,Retail,retail_ops
MOV00000206,488,2019-03-15,Promotion,Sales,Sales,Key Accounts,Key Accounts,IC1,IC2,473,630,STORE-BR-010,STORE-BR-010,BR,Retail,retail_ops
MOV00000207,229,2019-03-15,Promotion,Regional Operations,Regional Operations,Region Southeast,Region Southeast,IC1,IC2,174,18,STORE-BR-038,STORE-BR-038,BR,Retail,retail_ops
MOV00000208,47,2019-03-15,Promotion,Procurement,Procurement,Contracts,Contracts,IC3,M1,45,8,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000209,464,2019-03-15,Promotion,Legal,Legal,Compliance,Compliance,IC2,IC3,403,763,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000210,607,2019-03-15,Promotion,Legal,Legal,Corporate Legal,Corporate Legal,IC3,IC4,406,196,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000211,242,2019-03-15,Promotion,Customer Service,Customer Service,Escalations,Escalations,IC2,IC3,171,702,SITE-BR-001,SITE-BR-001,BR,Customer,customer
MOV00000212,90,2019-03-15,Promotion,Customer Experience,Customer Experience,CX Design,CX Design,IC2,IC3,194,516,SITE-BR-001,SITE-BR-001,BR,Customer,customer
MOV00000213,754,2019-03-15,Promotion,Product,Product,Product Management,Product Management,IC1,IC2,116,916,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000214,172,2019-03-15,Promotion,Digital Marketing,Digital Marketing,Paid Media,Paid Media,IC2,IC3,420,909,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000215,189,2019-03-15,Transfer,Customer Service,Visual Merchandising,Contact Center,Merchandising,IC2,IC2,171,901,SITE-BR-003,STORE-BR-006,BR,Retail,retail_ops
MOV00000216,960,2019-03-15,Transfer,Finance,Visual Merchandising,FP&A,Store Design,IC3,IC3,653,205,HQ-BR-001,STORE-BR-035,BR,Retail,retail_ops
MOV00000217,327,2019-03-15,Lateral Move,People,Legal,HR Business Partner,Corporate Legal,M1,M1,307,748,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000218,984,2019-03-15,Lateral Move,Visual Merchandising,Planning,Merchandising,Supply Planning,IC2,IC2,950,950,STORE-MX-006,DC-MX-001,MX,Supply Chain,supply
MOV00000219,11,2019-04-15,Transfer,Visual Merchandising,Customer Operations,Store Design,Returns,IC2,IC2,273,842,STORE-BR-029,SITE-BR-001,BR,Customer,customer
MOV00000220,196,2019-04-15,Transfer,Legal,Customer Operations,Compliance,Order Support,M3,M3,321,933,HQ-BR-001,SITE-BR-001,BR,Customer,customer
MOV00000221,517,2019-04-15,Transfer,Distribution Centers,Sales,Inbound,Floor Sales,IC3,IC3,162,162,DC-BR-004,STORE-BR-030,BR,Retail,retail_ops
MOV00000222,139,2019-05-15,Transfer,Sales,Regional Operations,Floor Sales,Region North,IC2,IC2,630,27,STORE-BR-042,STORE-BR-040,BR,Retail,retail_ops
MOV00000223,281,2019-05-15,Transfer,E-commerce,Store Operations,Catalog,Security,M2,M2,121,708,HQ-BR-001,STORE-BR-044,BR,Retail,retail_ops
MOV00000224,876,2019-05-15,Transfer,Finance,UX,Controlling,Design System,M4,M4,792,792,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000225,773,2019-05-15,Lateral Move,Digital Marketing,Regional Operations,SEO,Region Southeast,IC3,IC3,587,406,HQ-BR-001,STORE-BR-031,BR,Retail,retail_ops
MOV00000226,961,2019-05-15,Lateral Move,Visual Merchandising,Store Operations,Store Design,Security,IC3,IC3,205,316,STORE-BR-034,STORE-BR-014,BR,Retail,retail_ops
MOV00000227,401,2019-06-15,Transfer,Planning,Sales,Supply Planning,Floor Sales,IC2,IC2,541,379,DC-AR-001,STORE-AR-005,AR,Retail,retail_ops
MOV00000228,850,2019-06-15,Transfer,Sales,Store Operations,Floor Sales,Stockroom,IC1,IC1,128,1002,STORE-BR-037,STORE-BR-037,BR,Retail,retail_ops
MOV00000229,592,2019-07-15,Transfer,Customer Service,Customer Service,Chat,Contact Center,IC2,IC2,243,242,SITE-BR-001,SITE-BR-002,BR,Customer,customer
MOV00000230,335,2019-07-15,Lateral Move,Planning,Procurement,Supply Planning,Supplier Management,M1,M1,246,10,DC-BR-003,DC-BR-001,BR,Supply Chain,supply
MOV00000231,218,2019-08-15,Transfer,Strategy,E-commerce,PMO,Catalog,IC4,IC4,193,851,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000232,557,2019-08-15,Transfer,Data & Analytics,Customer Experience,Data Governance,CX Design,IC2,IC2,227,90,HQ-BR-001,SITE-BR-002,BR,Customer,customer
MOV00000233,751,2019-08-15,Transfer,Logistics,Store Operations,Transportation,Stockroom,IC2,IC2,623,950,DC-BR-001,STORE-MX-012,MX,Retail,retail_ops
MOV00000234,406,2019-09-15,Promotion,Regional Operations,Regional Operations,Region Southeast,Region Southeast,IC4,IC5,34,34,STORE-BR-026,STORE-BR-026,BR,Retail,retail_ops
MOV00000235,27,2019-09-15,Promotion,Regional Operations,Regional Operations,Region South,Region South,IC3,IC4,406,406,STORE-BR-027,STORE-BR-027,BR,Retail,retail_ops
MOV00000236,331,2019-09-15,Promotion,Procurement,Procurement,Sourcing,Sourcing,IC1,IC2,302,319,DC-BR-003,DC-BR-003,BR,Supply Chain,supply
MOV00000237,166,2019-09-15,Promotion,Distribution Centers,Distribution Centers,Inventory,Inventory,IC2,IC3,517,741,DC-BR-005,DC-BR-005,BR,Supply Chain,supply
MOV00000238,330,2019-09-15,Promotion,Logistics,Logistics,Last Mile,Last Mile,IC1,IC2,277,1001,DC-BR-004,DC-BR-004,BR,Supply Chain,supply
MOV00000239,148,2019-09-15,Promotion,Planning,Planning,Supply Planning,Supply Planning,IC1,IC2,9,912,DC-BR-003,DC-BR-003,BR,Supply Chain,supply
MOV00000240,653,2019-09-15,Promotion,Finance,Finance,Accounting,Accounting,IC4,IC5,286,940,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000241,684,2019-09-15,Promotion,Legal,Legal,Labor Legal,Labor Legal,IC4,M2,307,748,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000242,403,2019-09-15,Promotion,Legal,Legal,Corporate Legal,Corporate Legal,IC3,IC4,196,327,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000243,794,2019-09-15,Promotion,Risk,Risk,Internal Audit,Internal Audit,IC2,IC3,261,261,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000244,195,2019-09-15,Promotion,Procurement,Procurement,Indirect Procurement,Indirect Procurement,IC1,IC2,47,953,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000245,592,2019-09-15,Promotion,Customer Service,Customer Service,Contact Center,Contact Center,IC2,IC3,242,702,SITE-BR-002,SITE-BR-002,BR,Customer,customer
MOV00000246,93,2019-09-15,Promotion,Customer Service,Customer Service,Escalations,Escalations,IC1,IC2,189,242,SITE-BR-003,SITE-BR-003,BR,Customer,customer
MOV00000247,448,2019-09-15,Promotion,Customer Operations,Customer Operations,Returns,Returns,IC3,IC4,252,70,SITE-BR-003,SITE-BR-003,BR,Customer,customer
MOV00000248,210,2019-09-15,Promotion,Engineering,Engineering,Platform,Platform,M2,M3,8,873,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000249,760,2019-09-15,Promotion,Digital Marketing,Digital Marketing,Lifecycle,Lifecycle,IC2,IC3,707,909,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000250,570,2019-09-15,Promotion,Product,Product,Product Ops,Product Ops,IC4,IC5,482,856,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000251,218,2019-09-15,Promotion,E-commerce,E-commerce,Catalog,Catalog,IC4,IC5,851,873,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000252,416,2019-09-15,Transfer,Engineering,Data & Analytics,Frontend,Business Intelligence,IC5,IC5,70,904,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000253,788,2019-09-15,Transfer,Risk,Customer Service,Risk Management,Escalations,IC2,IC2,89,1079,HQ-MX-001,SITE-MX-001,MX,Customer,customer
MOV00000254,1062,2019-09-15,Transfer,Engineering,Logistics,Backend,Reverse Logistics,IC4,IC4,416,874,HQ-BR-001,DC-BR-003,BR,Supply Chain,supply
MOV00000255,1113,2019-09-15,Transfer,Logistics,Visual Merchandising,Transportation,Store Design,M1,M1,539,782,DC-CL-001,STORE-CL-006,CL,Retail,retail_ops
MOV00000256,50,2019-09-15,Lateral Move,Data & Analytics,Visual Merchandising,Business Intelligence,Merchandising,IC1,IC1,384,1109,HQ-BR-001,STORE-BR-006,BR,Retail,retail_ops
MOV00000257,55,2019-09-15,Lateral Move,Legal,Strategy,Corporate Legal,Corporate Strategy,IC2,IC2,119,494,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000258,771,2019-10-15,Transfer,Distribution Centers,Visual Merchandising,Inbound,Merchandising,M1,M1,648,918,DC-BR-006,STORE-BR-044,BR,Retail,retail_ops
MOV00000259,1024,2019-10-15,Transfer,Visual Merchandising,Regional Operations,Store Design,Region North,IC1,IC1,1013,1142,STORE-BR-041,STORE-BR-031,BR,Retail,retail_ops
MOV00000260,84,2019-10-15,Lateral Move,Procurement,Procurement,Supplier Management,Indirect Procurement,IC1,IC1,780,195,DC-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000261,1001,2019-10-15,Lateral Move,Logistics,Marketing,Transportation,Content,IC3,IC3,966,1072,DC-BR-003,HQ-BR-001,BR,Corporate,corporate
MOV00000262,20,2019-11-15,Transfer,Distribution Centers,Customer Experience,Outbound,Voice of Customer,IC1,IC1,48,652,DC-BR-001,SITE-BR-003,BR,Customer,customer
MOV00000263,102,2019-11-15,Transfer,Customer Experience,Regional Operations,CX Design,Region South,IC1,IC1,90,1141,SITE-BR-004,STORE-MX-001,MX,Retail,retail_ops
MOV00000264,765,2019-11-15,Transfer,Risk,Customer Operations,Fraud,Order Support,IC2,IC2,261,1174,HQ-BR-001,SITE-BR-002,BR,Customer,customer
MOV00000265,783,2019-11-15,Transfer,Data & Analytics,Legal,Data Governance,Labor Legal,IC3,IC3,92,970,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000266,868,2019-11-15,Transfer,Visual Merchandising,Finance,Store Design,Treasury,IC5,IC5,493,940,STORE-BR-021,HQ-BR-001,BR,Corporate,corporate
MOV00000267,1088,2019-11-15,Transfer,Store Operations,Store Operations,Cashier,Security,M1,M1,1006,503,STORE-BR-032,STORE-BR-037,BR,Retail,retail_ops
MOV00000268,310,2019-11-15,Lateral Move,Customer Service,Store Operations,Contact Center,Security,M1,M1,70,1006,SITE-BR-004,STORE-BR-038,BR,Retail,retail_ops
MOV00000269,1072,2019-11-15,Lateral Move,Marketing,Visual Merchandising,Performance,Store Design,IC4,IC4,537,771,HQ-BR-001,STORE-BR-012,BR,Retail,retail_ops
MOV00000270,1085,2019-11-15,Demotion,Sales,Sales,Key Accounts,Key Accounts,M1,IC5,246,1113,STORE-CL-001,STORE-CL-001,CL,Retail,retail_ops
MOV00000271,128,2019-12-15,Transfer,Sales,Marketing,Key Accounts,Content,IC2,IC2,162,1231,STORE-BR-022,HQ-BR-001,BR,Corporate,corporate
MOV00000272,1030,2019-12-15,Transfer,Customer Experience,Procurement,Voice of Customer,Sourcing,IC1,IC1,984,984,SITE-MX-001,DC-MX-002,MX,Supply Chain,supply
MOV00000273,1218,2019-12-15,Transfer,Customer Experience,Distribution Centers,Voice of Customer,Inventory,IC1,IC1,541,541,SITE-CL-001,DC-CL-001,CL,Supply Chain,supply
MOV00000274,73,2019-12-15,Lateral Move,Risk,Strategy,Fraud,Corporate Strategy,IC3,IC3,261,948,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000275,666,2020-01-15,Transfer,Visual Merchandising,Store Operations,Store Design,Store Management,IC1,IC1,365,866,STORE-AR-010,STORE-AR-005,AR,Retail,retail_ops
MOV00000276,977,2020-01-15,Transfer,Product,Store Operations,Product Management,Security,IC4,IC4,856,626,HQ-BR-001,STORE-AR-002,AR,Retail,retail_ops
MOV00000277,1011,2020-01-15,Transfer,E-commerce,Regional Operations,Storefront,Region South,IC4,IC4,851,406,HQ-BR-001,STORE-BR-030,BR,Retail,retail_ops
MOV00000278,1255,2020-01-15,Transfer,Customer Service,Visual Merchandising,Contact Center,Merchandising,IC1,IC1,1240,1251,SITE-BR-004,STORE-BR-034,BR,Retail,retail_ops
MOV00000279,1011,2020-02-15,Transfer,Regional Operations,Distribution Centers,Region South,Outbound,IC4,IC4,406,555,STORE-BR-030,DC-BR-001,BR,Supply Chain,supply
MOV00000280,1234,2020-02-15,Transfer,Visual Merchandising,E-commerce,Store Design,Checkout,IC1,IC1,1013,245,STORE-BR-022,HQ-BR-001,BR,Digital,digital
MOV00000281,375,2020-02-15,Lateral Move,Store Operations,Sales,Security,Floor Sales,IC3,IC3,416,341,STORE-AR-009,STORE-AR-002,AR,Retail,retail_ops
MOV00000282,160,2020-03-15,Promotion,Sales,Sales,Key Accounts,Key Accounts,IC2,IC3,162,1018,STORE-BR-016,STORE-BR-016,BR,Retail,retail_ops
MOV00000283,477,2020-03-15,Promotion,Regional Operations,Regional Operations,Region South,Region South,IC3,M1,406,782,STORE-BR-041,STORE-BR-041,BR,Retail,retail_ops
MOV00000284,623,2020-03-15,Promotion,Visual Merchandising,Visual Merchandising,Merchandising,Merchandising,IC4,M2,868,700,STORE-BR-028,STORE-BR-028,BR,Retail,retail_ops
MOV00000285,882,2020-03-15,Promotion,Sales,Sales,Floor Sales,Floor Sales,IC1,IC2,21,1250,STORE-BR-043,STORE-BR-043,BR,Retail,retail_ops
MOV00000286,971,2020-03-15,Promotion,Sales,Sales,Floor Sales,Floor Sales,IC1,IC2,541,1085,STORE-CL-006,STORE-CL-006,CL,Retail,retail_ops
MOV00000287,960,2020-03-15,Promotion,Visual Merchandising,Visual Merchandising,Store Design,Store Design,IC3,M1,205,181,STORE-BR-035,STORE-BR-035,BR,Retail,retail_ops
MOV00000288,282,2020-03-15,Promotion,Regional Operations,Regional Operations,Region North,Region North,IC2,IC3,34,27,STORE-BR-001,STORE-BR-001,BR,Retail,retail_ops
MOV00000289,782,2020-03-15,Promotion,Regional Operations,Regional Operations,Region South,Region South,M2,M3,700,700,STORE-BR-023,STORE-BR-023,BR,Retail,retail_ops
MOV00000290,571,2020-03-15,Promotion,Sales,Sales,Key Accounts,Key Accounts,IC2,IC3,517,1018,STORE-BR-007,STORE-BR-007,BR,Retail,retail_ops
MOV00000291,801,2020-03-15,Promotion,Sales,Sales,Key Accounts,Key Accounts,IC1,IC2,696,1250,STORE-BR-020,STORE-BR-020,BR,Retail,retail_ops
MOV00000292,85,2020-03-15,Promotion,Sales,Sales,Key Accounts,Key Accounts,IC1,IC2,391,160,STORE-BR-038,STORE-BR-038,BR,Retail,retail_ops
MOV00000293,965,2020-03-15,Promotion,Risk,Risk,Fraud,Fraud,IC1,IC2,117,794,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000294,868,2020-03-15,Promotion,Finance,Finance,Treasury,Treasury,IC5,M3,940,933,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000295,906,2020-03-15,Promotion,Finance,Finance,Controlling,Controlling,IC3,M1,653,945,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000296,55,2020-03-15,Promotion,Strategy,Strategy,Corporate Strategy,Corporate Strategy,IC2,IC3,494,444,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000297,447,2020-03-15,Promotion,People,People,Learning & Development,Learning & Development,IC2,IC3,183,1180,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000298,75,2020-03-15,Promotion,Legal,Legal,Compliance,Compliance,IC1,IC2,155,835,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000299,986,2020-03-15,Promotion,Data & Analytics,Data & Analytics,Business Intelligence,Business Intelligence,IC1,IC2,735,1184,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000300,83,2020-03-15,Promotion,Planning,Planning,Supply Planning,Supply Planning,IC1,IC2,556,9,DC-BR-001,DC-BR-001,BR,Supply Chain,supply
MOV00000301,9,2020-03-15,Promotion,Planning,Planning,Demand Planning,Demand Planning,IC3,M1,335,246,DC-BR-003,DC-BR-003,BR,Supply Chain,supply
MOV00000302,976,2020-03-15,Promotion,Customer Experience,Customer Experience,Voice of Customer,Voice of Customer,IC1,IC2,557,1245,SITE-BR-002,SITE-BR-002,BR,Customer,customer
MOV00000303,557,2020-03-15,Promotion,Customer Experience,Customer Experience,CX Design,CX Design,IC2,IC3,90,516,SITE-BR-002,SITE-BR-002,BR,Customer,customer
MOV00000304,592,2020-03-15,Promotion,Customer Service,Customer Service,Contact Center,Contact Center,IC3,M1,702,70,SITE-BR-002,SITE-BR-002,BR,Customer,customer
MOV00000305,532,2020-03-15,Promotion,Data,Data,Data Engineering,Data Engineering,IC1,IC2,740,1183,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000306,420,2020-03-15,Promotion,Digital Marketing,Digital Marketing,Paid Media,Paid Media,IC3,IC4,8,587,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000307,118,2020-03-15,Promotion,Product,Product,Product Management,Product Management,IC2,IC3,404,1010,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000308,877,2020-03-15,Promotion,E-commerce,E-commerce,Catalog,Catalog,IC3,IC4,730,851,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000309,150,2020-03-15,Transfer,Customer Service,Sales,Escalations,Key Accounts,IC1,IC1,461,85,SITE-BR-004,STORE-BR-021,BR,Retail,retail_ops
MOV00000310,433,2020-03-15,Transfer,Customer Experience,Data,CX Design,Data Engineering,M1,M1,303,1163,SITE-BR-002,HQ-BR-001,BR,Digital,digital
MOV00000311,943,2020-03-15,Transfer,Planning,People,Demand Planning,People Analytics,IC1,IC1,505,113,DC-BR-002,HQ-BR-001,BR,Corporate,corporate
MOV00000312,1112,2020-03-15,Transfer,Customer Operations,Customer Experience,Returns,Voice of Customer,IC2,IC2,448,1245,SITE-BR-002,SITE-BR-001,BR,Customer,customer
MOV00000313,657,2020-04-15,Transfer,Engineering,Regional Operations,Frontend,Region South,IC2,IC2,283,518,HQ-BR-001,STORE-BR-013,BR,Retail,retail_ops
MOV00000314,994,2020-04-15,Transfer,Visual Merchandising,Data,Merchandising,Data Engineering,IC2,IC2,961,1254,STORE-BR-041,HQ-BR-001,BR,Digital,digital
MOV00000315,1002,2020-04-15,Lateral Move,Store Operations,Marketing,Security,CRM,IC2,IC2,961,1231,STORE-BR-021,HQ-BR-001,BR,Corporate,corporate
MOV00000316,948,2020-05-15,Transfer,Strategy,Procurement,Corporate Strategy,Contracts,IC4,IC4,193,29,HQ-BR-001,HQ-BR-001,BR,Corporate,corporate
MOV00000317,1026,2020-05-15,Transfer,People,Product,Learning & Development,Product Ops,IC3,IC3,183,1274,HQ-BR-001,HQ-BR-001,BR,Digital,digital
MOV00000318,1136,2020-05-15,Transfer,Sales,Planning,Floor Sales,Demand Planning,IC1,IC1,820,373,STORE-AR-005,DC-AR-001,AR,Supply Chain,supply
MOV00000319,70,2020-05-15,Lateral Move,Customer Operations,Store Operations,Order Support,Store Management,M2,M2,872,782,SITE-BR-003,STORE-BR-022,BR,Retail,retail_ops
MOV00000320,1229,2020-05-15,Lateral Move,Planning,Visual Merchandising,Demand Planning,Store Design,IC2,IC2,802,273,DC-BR-006,STORE-BR-035,BR,Retail,retail_ops
MOV00000321,208,2020-06-15,Transfer,Regional Operations,Risk,Region North,Fraud,M2,M2,212,711,STORE-BR-031,HQ-BR-001,BR,Corporate,corporate
MOV00000322,274,2020-06-15,Transfer,Regional Operations,Finance,Region South,FP&A,IC1,IC1,1009,900,STORE-BR-016,HQ-BR-001,BR,Corporate,corporate
